Year,Week,Resort,avg_max_temp,avg_min_temp,sum_precip
2026,13,Mt. Stirling,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Stirling,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Stirling,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Perisher,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Perisher,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Perisher,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Perisher,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Perisher,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Perisher,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Perisher,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Perisher,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Perisher,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Perisher,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Perisher,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Perisher,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Perisher,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Perisher,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Perisher,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Selwyn,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Selwyn,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Selwyn,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Selwyn,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Selwyn,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Selwyn,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Selwyn,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Selwyn,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Selwyn,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Selwyn,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Selwyn,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Selwyn,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Selwyn,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Selwyn,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Selwyn,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Thredbo,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Thredbo,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Thredbo,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Thredbo,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Thredbo,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Thredbo,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Thredbo,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Thredbo,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Thredbo,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Thredbo,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Thredbo,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Thredbo,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Thredbo,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Thredbo,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Thredbo,6.523578160773171,0.4156114074940298,210.95531100424697
